"","state","county","population_total","population_avg","area_total","area_avg"
"1","Massachusetts","Barnstable County",212990,212990,396,396
"2","Massachusetts","Berkshire County",124944,124944,931,931
"3","Massachusetts","Bristol County",565217,565217,556,556
"4","Massachusetts","Dukes County",17332,17332,104,104
"5","Massachusetts","Essex County",789034,789034,498,498
"6","Massachusetts","Franklin County",70180,70180,702,702
"7","Massachusetts","Hampden County",466372,466372,618,618
"8","Massachusetts","Hampshire County",160830,160830,529,529
"9","Massachusetts","Middlesex County",1611699,1611699,824,824
"10","Massachusetts","Nantucket County",11399,11399,48,48
"11","Massachusetts","Norfolk County",706775,706775,400,400
"12","Massachusetts","Plymouth County",521202,521202,661,661
"13","Massachusetts","Suffolk County",803907,803907,58,58
"14","Massachusetts","Worcester County",830622,830622,1513,1513
